hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight,x,y,z,volume_id,layer_id,module_id,psi
18511,761119332141891584,-30.3661,-13.9414,0.21845100000000003,-1.37135,-0.63958,-0.0905887,1.85152e-05,-30.3667,-13.9407,0.23066199999999998,8,2,98,1.5638932332028224
18513,761127303601192960,-24.0165,-21.0501,-5.34324,-0.122958,-0.11950999999999999,-0.040325599999999996,1.75138e-05,-24.0216,-21.0444,-5.34374,8,2,98,1.405005367043382
18515,13514303575425024,-27.1572,-17.534000000000002,-5.08542,-1.1129,-0.707457,-0.120439,3.33796e-05,-27.1586,-17.5324,-5.09639,8,2,98,1.414427641935573
18520,896222167002251264,-22.1696,-23.1178,-2.6232,-0.378315,-0.406925,0.0284366,1.1706700000000001e-05,-22.1564,-23.1326,-2.62812,8,2,98,1.4889319631359474
18527,360292574394580992,-31.1356,-13.0798,-4.97698,-0.215696,-0.07937480000000001,-0.0409051,1.29602e-05,-31.1357,-13.0797,-4.9772,8,2,98,1.4244707284041491
18529,387310392587583488,-27.4978,-17.1526,-3.36254,-0.521399,-0.33704,-0.00695993,1.58491e-05,-27.4979,-17.1525,-3.3593800000000003,8,2,98,1.4675093955099539
18532,761119125983461376,-30.6471,-13.6267,0.225649,-0.16201600000000002,-0.060886800000000005,-0.010605799999999999,7.42652e-06,-30.6505,-13.6229,0.240623,8,2,98,1.5636225746078942
18538,441361215977947136,-23.5111,-21.616,0.584952,-0.27935,-0.244533,0.0367814,9.01219e-06,-23.5129,-21.614,0.578121,8,2,98,1.552696823243145
18543,40537962923950080,-28.3486,-16.2001,-5.4796,-0.305144,-0.1853,-0.00167516,1.57624e-05,-28.3493,-16.1992,-5.49688,8,2,98,1.404008451697831
18556,720584461594394624,-28.9823,-15.4906,0.446805,-0.383447,-0.193577,-0.0176371,8.58176e-06,-28.9798,-15.4934,0.46562600000000004,8,2,98,1.5566279020517755
18567,387323243129733120,-30.8232,-13.4296,-0.685034,-0.347533,-0.141388,0.0254294,7.06191e-06,-30.8234,-13.4294,-0.681523,8,2,98,1.5505288791067806
