hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight,x,y,z,volume_id,layer_id,module_id,psi
18185,896220242856902656,-31.1606,-7.63519,-1.41266,-0.190308,-0.0368335,-0.046295499999999996,3.20481e-05,-31.160999999999998,-7.63403,-1.41331,8,2,97,1.5267724147662511
18186,846685800916582400,-31.3513,-7.08977,-0.6061949999999999,-0.24975799999999998,-0.046541900000000004,0.03465580000000001,1.26898e-05,-31.3507,-7.09138,-0.6031270000000001,8,2,97,1.5520344938369464
18197,459373552903127040,-31.964000000000002,-5.33743,-2.22808,-0.42528999999999995,-0.080998,0.000829251,3.20481e-05,-31.9637,-5.33829,-2.23438,8,2,97,1.5019565718601853
18222,653027580965814272,-31.888,-5.5547,0.9500190000000001,-0.50258,-0.0979279,0.0490267,1.07174e-05,-31.8884,-5.55349,0.9558840000000001,8,2,97,1.5412734839546616
18251,432353192089485312,-29.0965,-13.5387,-3.3831599999999997,-0.902667,-0.41012,0.226696,2.31249e-05,-29.0913,-13.5537,-3.3831300000000004,8,2,97,1.4657701038350655
18253,954763464599928832,-33.3459,-1.38483,-2.37255,-0.39557600000000004,-0.00588944,0.0134714,1.0513599999999999e-05,-33.3455,-1.38596,-2.36548,8,2,97,1.5000373442670751
18264,720592433053696000,-31.2726,-7.314889999999999,0.367888,-0.389488,-0.101792,-0.0114941,1.18637e-05,-31.2736,-7.31186,0.353123,8,2,97,1.5598018743546191
18272,234194258729369600,-32.5388,-3.6932699999999996,-0.287544,-0.8214389999999999,-0.08305169999999999,0.125651,2.9256999999999998e-05,-32.5385,-3.69421,-0.28592,8,2,97,1.562065510296782
18283,477389600696836098,-29.673000000000002,-11.8898,0.303464,-0.0973595,0.151866,0.104299,1.56312e-05,-29.6744,-11.8858,0.305917,8,2,97,1.561226624560185
18285,400822497139752960,-31.2059,-7.50565,0.258071,-0.5215890000000001,-0.11688699999999999,0.00203191,9.47359e-06,-31.2068,-7.5030399999999995,0.240623,8,2,97,1.5632995140233648
18299,265712721612242944,-32.6344,-3.42001,-3.59635,-1.67038,-0.186164,-0.0957463,4.0118000000000005e-05,-32.6347,-3.4189,-3.5843800000000003,8,2,97,1.4619921326336183
